channel_id,label,wd_item,wd_class,country,language,tier_reason
UCGN7_Jy7V12NspJBcxsQFyA,VietnamPlus,Q98965362,mass media|news media|news website|newspaper|online newspaper,Vietnam,English,topic
UCGONWo6kCXGwtyA8SHrHIAw,Al-Shorouk,Q12205249,newspaper,Egypt,Arabic,topic
UCG_Qif8SJIS3XxU8iqHoInw,Radio Free Europe/Radio Liberty,Q485500,mass media|media company|news agency|news media|radio station,United States,,topic+title
UCGbN-oQhbPu_ig3lv-87Pwg,Al-Rafidain TV,Q4703120,mass media|news media|news website|television channel,Iraq,,topic
UCGe1EHmk2SHt9fnpIRchvqg,il Post,Q3792882,mass media|news media|news website|newspaper|online newspaper,,Italian,topic
UCGoLa-QhHmTxLEdjv_8dxrg,444.hu,Q21590068,mass media|news media|news website|newspaper|online newspaper,Hungary,Hungarian,topic+title
UCGp4u0WHLsK8OAxnvwiTyhA,Pathé News,Q2893565,mass media|media company|news agency|news media,United Kingdom,,topic+title
UCGsptS1u_Nz6-yIFBbzZK0g,Q126727802,Q126727802,newspaper,Russia,Russian,topic
UCGy6uV7yqGWDeUWTZzT3ZEg,Rebel News,Q19866755,mass media|news media|news website,Canada,Canadian English,topic+title
UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,Q825946,mass media|news media|news program,,,topic+title
UCH65st7hkRdchprU2fMcerg,Q124339466,Q124339466,newspaper,,,topic
UCHBDXQDmqnaqIEPdEapEFVQ,Xinhua News Agency,Q204839,mass media|media company|news agency|news media,People's Republic of China,,topic
UCHBv5vSp3pETSLq8oWTsmqA,Era News,Q5384778,mass media|news media|television channel,Taiwan,,topic
UCHDXXHPrz-1GVbK_qk82hBQ,Deccan Herald,Q1181753,newspaper,India,English,topic+title
UCHJ8gW2vKH5R3VohymtBCrQ,Híradó,Q1161091,mass media|news media|news program,,,topic+title
UCHMl6cx4Q1JsvTwAT2gA8Vw,Busan Ilbo,Q608410,newspaper,South Korea,Korean,topic
UCHWB1dvebBlXIHUSuUQSrxQ,Krytyka Polityczna,Q655104,magazine|mass media|newspaper,Poland,Polish,topic+title
UCHXvjavEtkPFJCfGlm0wTXw,Kyunghyang Shinmun,Q497170,newspaper,South Korea,Korean,topic
UCHYlN_WxQytvVZu3dNWd7lQ,Lviv Media,Q117288740,mass media|news media|news website,Ukraine,,topic+title
UCHbWS1ux3GuMNvrsOnb9ccQ,Correo del Caroní,Q5789313,newspaper,Venezuela,Spanish,topic+title
UCHorQulYsTk46YvIOwWE6sw,Ad-Dustour,Q4678064,newspaper,Jordan,English,topic
UCHpw8xwDNhU9gdohEcJu4aA,The Guardian,Q11148,newspaper,United Kingdom,English,topic+title
UCHqC-yWZ1kri4YzwRSt6RGQ,Right Side Broadcasting Network,Q27629636,mass media|news media|news website,United States,,topic+title
UCHs8PbPCfni0BmT7w9q1Zgg,Q123576057,Q123576057,mass media|news media|news program,,,topic
UCHtrgacI-14jCFa197-4wHQ,Workers' Politics,Q67520227,mass media|news media|news website|newspaper|online newspaper,Argentina,Spanish,topic
UCI3EXOyQ5_imsQJs5pq28XQ,El Independiente,Q135012540,newspaper,Spain,Spanish,topic+title
UCI4mta4pWhYhPSLhjmUAfZQ,Mainichi Shimbun,Q1136866,newspaper,Japan,Japanese,topic
UCI5MioziUGodOkQdDTeJm2A,Q105241558,Q105241558,mass media|media company|news agency|news media,Mexico,,topic
UCI8DegIWgK51cGakXcf1dOQ,Arab News,Q623659,newspaper,,English,topic+title
UCI8XeBXcahsbsR2XA9gIWoQ,DOXA,Q106512525,magazine|mass media|newspaper,Russia,Russian,topic+title
UCI8obY7X3qi6GnS1ZWKztMw,BatiActu,Q114090040,magazine|mass media|news media|news website|newspaper|online newspaper,,French,topic+title
UCIFX9h9nwvTx8GaO8FSIEJg,Real Live News,Q11393909,mass media|media company|news media|news website|newspaper,Japan,,topic
UCIIkOzwZIdLfHa4Q13dQrkw,Deutsche Welle Bengali,Q16345524,mass media|media company|news agency|news media,Bangladesh,,topic
UCIJXOvggjKtCagMfxvcCzAA,Sky News Arabia,Q2201035,mass media|news media|news program|television channel|television station,United Arab Emirates,,topic
UCILYNzZvWNUPaALmDJBIMAw,Channel Dinraat,Q48729815,mass media|news media|television channel,India,Bangla,topic+title
UCISgnSNwqQ2i8lhCun3KtQg,Sansad TV,Q106253885|Q7286502,mass media|news media|television channel|television station,India,Hindi,topic+title
UCIusLv5aQubqzuyVQGEjSug,Vzglyad,Q1970600,mass media|news media|news website|newspaper|online newspaper,Russia,Russian,topic
UCIwZ1tpMyb_inF_9rHC8Zzg,WEHO Times,Q116783518,mass media|news media|news website,,English,topic+title
UCIzXayRP7-P0ANpq-nD-h5g,The Sun,Q208875,newspaper,United Kingdom,English,topic+title
UCIzk1xJKhTtb3fyHyu44o6Q,Bucks County Herald,Q55668575,newspaper,United States,English,topic+title
UCJAQQN2pTQY0eyB05PInceg,The Arizona Mirror,Q111013865,mass media|news media|news website|newspaper|online newspaper,United States,,topic+title
UCJBJn_DAtgS6cF3QEom_CpQ,democrata.es,Q136374312,mass media|news media|news website|newspaper|online newspaper,Spain,Spanish,topic+title
UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,Q1954757,newspaper,India,English,topic+title
UCJN75PLD50xD6FIa3dtohJw,DCReport,Q125543329,mass media|news media|news website,United States,,topic+title
UCJPny77nNKt9Jv9D9a7_qrg,mandiner.hu,Q63165483,mass media|news media|news website|newspaper|online newspaper,Hungary,Hungarian,topic+title
UCJUrX-ElIk-INr7aQHkEyAQ,Insurance Times,Q109376339,mass media|newspaper,,,topic+title
UCJVTsYjG0KLNWL6OyHx7ZGw,Nexo Jornal,Q42715828,mass media|news media|news website|newspaper|online newspaper,Brazil,,topic+title
UCJXfbDrhFskU3ImODCaWr1A,Dagens Nyheter,Q1126918,newspaper,Sweden,Swedish,topic+title
UCJc6b2Bf2olt5_XfQpZ5GJA,Willamette Week,Q1750565,newspaper,United States,English,topic+title
UCJekW1Vj5fCVEGdye_mBN6Q,Samaa.tv,Q106695309|Q7408411,mass media|news media|news website|television station,Pakistan,,topic+title
UCJv_pFLPfu6Z7b5lJAdis_Q,AbruzzoWeb,Q118869332,mass media|news media|news website|newspaper|online newspaper,Italy,Italian,topic+title
UCK5oVVOov765YXo0uEtj12Q,NUR.KZ,Q98046055,mass media|media company|news agency|news media,Kazakhstan,,topic
UCK61nMyq9bYju554DZWdUXw,Q131911965,Q131911965,mass media|news media|news website|newspaper|online newspaper,Ukraine,Russian,topic
UCK6FgUDllyt6loLQPQP1zjQ,Nizhegorodskaya Pravda,Q4318632,newspaper,,Russian,topic
UCK6c4qk3hRaa6fMIEZrhiXQ,Tribun Timur,Q12522332,newspaper,Indonesia,,topic+title
UCKCVeAihEfJr-pGH7B73Wyg,Ukrainian Independent Information Agency,Q2095222,mass media|media company|news agency|news media,Ukraine,,topic
UCKFykihK_HetVjH_JPU3N3w,Q140680236,Q140680236,public broadcaster,Netherlands,,topic
UCKK1JzwJzAVVJToQ4ezjDtg,Kikar HaShabbat,Q6262613,mass media|news media|news website|newspaper|online newspaper,,Hebrew,topic
UCKN3AqdDXIkZrHaMkA8hdkg,Watan News Agency,Q129177312,mass media|media company|news agency|news media,Palestine,,topic+title
UCKNT5nrVgFst48AXQAFuH1Q,infoLibre,Q16578645,newspaper,Spain,Spanish,topic+title
UCKTka4Ofp4aW2enMCMYS9Qg,SAY ALWAYS TRUTH,Q139622898,mass media|news media|news website|newspaper|online newspaper,Bangladesh,,topic+title
UCKVxUfdtZsqtg3B3-wjrLOA,Q269300,Q269300,mass media|news media|news website|newspaper|online newspaper,Switzerland,French,topic
UCKY1msUI1iVtnKHPaLOsiQg,Yahoo News,Q3044717,mass media|news media|news website,,,topic+title
UCKbhCXpZwAmFN4UHeT8HTjA,Jugantor,Q6304791,newspaper,Bangladesh,Bangla,topic+title
UCKh-hDdf5jRqvgPTTTU7pDw,Kirkko ja kaupunki,Q5406574,newspaper,,Finnish,topic+title
UCKjU3KzdbJE1EFcHVqXC3_g,The National,Q2413021,mass media|news media|news program,,,topic+title
UCLEhuU5yv0T4WBjntWoUSXw,Veryansın TV,Q120395570,mass media|news media|news website,Turkey,,topic+title
UCLTywN06xv2K8Wz1fSGQS_g,Vechernyaya Moskva,Q2614109,newspaper,Russia,Russian,topic
UCLYWo70xBDrPYJgJsxoX7Qg,Green Bean Media,Q122920928,mass media|news media,United Kingdom,Yue Chinese,topic+title
UCLe9bPt-OpIUm_0utD9cb-g,CredereMedia,Q60995743,mass media|news media|news website,,,topic
UCLgVC4vh2TIlVYRP7C_F5Wg,evening newspaper,Q106878568,newspaper,Canada,French,topic
UCLhFJ2A2Yx9Ro8dJPfBuFGw,Q30339599,Q30339599,newspaper,Spain,,topic
UCLtGUPjKLqa3zgdmhKCZONg,El Comercio,Q1324020,mass media|news media|news website|newspaper|online newspaper,Peru,Spanish,topic+title
UCLvbVJDsVX4-qoyladIiVaQ,El Observador,Q892935,newspaper,Uruguay,Spanish,topic+title
UCLxs4arZs46ZBsZ6VvDRkTw,TV 2 Kosmopol,Q12338663,mass media|news media|news website|newspaper|online newspaper|television station,Denmark,,topic+title
UCM-1sd-cXSuCsfWp8QMY_OQ,telex.hu,Q98924172,mass media|news media|news website|newspaper|online newspaper,Hungary,English,topic+title
UCM0GcCS1HPUhVxRVOvxg2ag,DCNews.Ro,Q18539605,mass media|news media|news website|newspaper|online newspaper,Romania,Romanian,topic+title
UCMBDmj_hrxj8CV-bpa8nSCQ,Confidencial,Q5160091,newspaper,Nicaragua,,topic+title
UCMEMEhlnxpkTphipw-EpFMA,Radio Ukraine,Q848966,public broadcaster,Ukraine,,topic
UCMXDdHOAhKSiK-94pWc5q1w,Carolina Journal,Q124427187,magazine|mass media|news magazine|news media,,English,topic+title
UCMXeWDOu2ztIs2LZkXGXbGw,Sports Hochi,Q7579734,newspaper,Japan,Japanese,topic
UCMlCPwzF9ibXfCTjFF9Ihmg,OBOZ.UA,Q4329488,mass media|media company|news media|news website|newspaper|online newspaper,Ukraine,English,topic+title
UCMmpLL2ucRHAXbNHiCPyIyg,ARY News,Q4653979,mass media|news media|television channel,Pakistan,Urdu,topic+title
UCMsWTbr8EdXTXsmRTWqkZMA,rabble.ca,Q3415909,magazine|mass media|news media|news website,Canada,English,topic+title
UCMtFAi84ehTSYSE9XoHefig,The Late Show with Stephen Colbert,Q18151598,mass media|news media|news program,,,topic+title
UCMywWPYWcnMqkgIOdyeYgyA,El Tribuno de Jujuy,Q135812278,mass media|news media|news website|newspaper|online newspaper,Argentina,Argentine Spanish,topic+title
UCN30-BOe1y5ZCbXLxUApE9w,El Moudjahid,Q28055931,newspaper,Algeria,French,topic+title
UCNCVuaQDvPrZ4oTKG90iqOA,Medyascope,Q65219588,mass media|news media|news website,,,topic+title
UCNHi3NPwZpHn4NRmf4SGbpw,Horizon,Q122850711,mass media|news media|news program,,,topic
UCNL0WotRzHNMbdMDzye_uFg,xabardor.uz,Q113399034,mass media|news media|news website,Uzbekistan,Uzbek,topic+title
UCNLxBzguoGLqXWA8_BtHSHA,Jiji Press,Q1688974,mass media|media company|news agency|news media,Japan,,topic
UCNPxzbEkoNcydfLrRdTb-HA,AKIpress News Agency,Q4652171,mass media|media company|news agency|news media,Kyrgyzstan,Russian,topic+title
UCNQx55HsdDj9ObVACcF5d3A,Q137291149,Q137291149|Q137464441,mass media|news media|news website|newspaper|online newspaper,,,topic
UCNVrdbEJ_n7EPoBKkNVKvfg,A Gazeta,Q18285196,newspaper,Brazil,,topic+title
UCNWh9GuY0APdpm6jwbX5JsA,Mothership,Q81189660,mass media|news media,Singapore,English,topic+title
UCNaeAMlVCgGCqOygi081I2A,actu.fr,Q97368663,mass media|news media|news website|newspaper|online newspaper,France,French,topic+title
UCO4QYN8BZS7K1dYrlSf4hqg,RTTNews,Q60748698,mass media|media company|news agency|news media|news website,,,topic+title
UCO5JA54S9TNAZ5yG3pFKCVg,News TV India,Q139986903,mass media|news media|news website|television channel,India,Hindi,topic+title
UCO9AQtN33IP53uiImJ_59OQ,Anka News Agency,Q4765940,mass media|media company|news agency|news media,Turkey,,topic+title
UCO9SfFMUHEeMXt1EKIcN1oA,Global Times,Q970443,magazine|mass media|newspaper,People's Republic of China,English,topic+title
UCOQmYq0_36XTJZKX1ngTnMw,CTXT,Q22969989,newspaper,Spain,Spanish,topic
UCOdpeidso85hQh1fvxcVwjw,Syrian Arab News Agency,Q63392,mass media|media company|news agency|news media,Syria,French,topic
UCOwAf0r6kIOj8783xDye2pQ,BNO News,Q975695,mass media|media company|news agency|news media,Netherlands,,topic+title
UCP18O2MlwlEpZ2P8G8c3F1A,Azatlıq radiosı,Q4452449,mass media|news media|news website|newspaper|online newspaper|radio station,,Bashkir,topic
UCP2Klbz_VJwBKQWbmhiMfcw,Q107382756,Q107382756,newspaper,,,topic
UCP4-EHo95N1itjsHcm-IR-Q,Q85996442,Q85996442,mass media|news media|news website|newspaper|online newspaper,Ukraine,Ukrainian,topic
UCP4BdwPKyYnfRLjSNfGAPRA,The Daily Caller,Q7728625,mass media|news media|news website|newspaper|online newspaper,United States,English,topic+title
UCP4rilfFKdjXRC1guWNZ85g,Al-Masry Al-Youm,Q2829240,newspaper,Egypt,Arabic,topic
UCP5BG7Qd0_63hscPY9mXF7g,MediaZona,Q28135463,mass media|news media|news website,Russia,English,topic
UCPFSLlkwCqpy23jwYDwAPrg,Manchester Evening News,Q3070672,newspaper,United Kingdom,English,topic+title
UCPMHvh9zY8SMRxPGA4Svrkw,Al-Dostor,Q4165433,newspaper,Egypt,Classical Arabic,topic+title
UCPNVpg-SWu9GH_8MEEAh3eg,Q116880003,Q116880003,mass media|news media|news website|newspaper|online newspaper,Brazil,Brazilian Portuguese,topic
UCPQKp70iPlC3ockBdUE7myA,Telugu Vaadi TV,Q137381615,newspaper,India,Telugu,topic+title
UCPT8yrs6YnIngJ_GrwOc7FQ,praza.gal,Q12398101,mass media|news media|news website|newspaper|online newspaper,Spain,Galician,topic+title
UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,Q7739683,newspaper,United States,English,topic+title
UCPbpOnmqK8O_FC4ejdzDTHQ,Bangla Tribune,Q28126618,mass media|news media|news website|newspaper|online newspaper,Bangladesh,Bangla,topic+title
UCPczt8v8G_NtXh8vbTUOh6Q,Dainik Purbokone,Q19739647,newspaper,Bangladesh,Bangla,topic+title
UCPfFXhCgc6cciu3aYm-9AdA,Il Fatto Quotidiano,Q1051087,newspaper,Italy,Italian,topic+title
UCPvrM230bjA31uAgQPOHtEQ,L'Indipendente,Q117087647,mass media|news media|news website|newspaper|online newspaper,Italy,,topic+title
UCPxHQlsGQgibWqwgz1dkf4g,The 'Gander,Q116820681,mass media|news media|news website,,English,topic+title
UCQ2BzTiRUbL3z4K22dTB5dg,The New Arab,Q20389499,newspaper,United Kingdom,,topic
UCQMG88ek58wknvXKBWxEtvQ,ArkansasTV,Q138042495,public broadcaster,United States,,topic
UCQNjg0-yEA8LoyCcWI-j8mA,Q269300,Q269300,mass media|news media|news website|newspaper|online newspaper,Switzerland,French,topic
UCQiuf1Hi5-Tvpuh2LlhLU7w,Alerta Chiapas,Q139504989,mass media|news media|news website,Mexico,Spanish,topic+title
UCQmo59tWId4OHTdl4W320DQ,Wayka,Q105967298,mass media|news media|news website|newspaper|online newspaper,Peru,Spanish,topic+title
UCQoWYx905nWeJ4wegGmsaBg,Sahan Journal,Q104629821,mass media|news media|news website|newspaper|online newspaper,United States,English,topic+title
UCQpk4isGpLvfE_riTJc9jHA,Inc42,Q124396958,mass media|media company|news media|news website,India,,topic+title
UCQtVJ-76KjPds9evTODkq-A,The New Indian Express,Q1955025,newspaper,India,English,topic+title
UCQtg_BBCxa_iGaddhQ7_jyg,Belarusian section of Radio Free Europe/Radio Liberty,Q13028748,mass media|news media|news website|newspaper|online newspaper|radio station,,Belarusian,topic
UCR1tLg8fy9dklmhZPf0qCWQ,Q5825366,Q5825366,mass media|news media,,Spanish,topic
UCR3asjvr_WAaxwJYEDV_Bfw,EBC  News,Q5324488,mass media|news media|television channel,Taiwan,,topic
UCRKvvzAYcAwaWwT1lUlRpAQ,The Thaiger,Q117193932,mass media|news media|news website|newspaper|online newspaper,Thailand,English,topic+title
UCRSlle7mqqZdTkWtsJmdegA,Xanthi Municipal Radio,Q86508828,mass media|public broadcaster|radio station,Greece,,topic
UCRVbqma6TaIHp9E151nC8sA,Agência Pública,Q30931474,mass media|media company|news agency|news media,Brazil,,topic+title
UCReZZDDAkxI6mx_dMTB8UAg,BERLIN LIVE,Q133502410,mass media|news media|news website|newspaper|online newspaper,Germany,,topic+title
UCRt2klyaxgx89vPF8cFMfnQ,Daily Kalbela,Q118115540,newspaper,,English,topic+title
UCRuy5PigeeBuecKnwqhM4yg,Brasil 247,Q9663951,newspaper,Brazil,Portuguese,topic+title
UCRzypVq0B_yBad5eGrwBx0Q,Tunisie Numerique,Q140519314,mass media|news media|news website|newspaper|online newspaper,Tunisia,French,topic+title
UCS39xgo-p0XUnbtDSZNYFuQ,The Seoul Economic Daily,Q12601146,newspaper,South Korea,Korean,topic
UCS3maDoYHOG7WzN_ESSWC-g,The Insider,Q48940439,mass media|news media|news website,Russia,English,topic+title
UCS8NBLF9OXDJxiswG1faMZA,Montsame,Q4302210,mass media|media company|news agency|news media,Mongolia,,topic
UCSHyZxDokOBevPI5rXymIaw,Voice of America,Q228389,mass media|news media|news website|newspaper|online newspaper|radio station,United States,,topic
UCSRRURbKlPf1HwPUhjmufTg,The Free Press,Q116769322,mass media|media company|news media|news website|newspaper|online newspaper,United States,,topic+title
UCSUu1lih2RifWkKtDOJdsBA,NASASpaceflight,Q6952454,mass media|media company|news agency|news media|news website,,English,topic+title
UCSV-9ZLEhEOwgnp--Pu1nVA,Ukraїner,Q85987519,mass media|news media|news website|newspaper|online newspaper,,,topic+title:alt
UCSaf-7p3J_N-02p7jHzm5tA,The Quint,Q48734478,mass media|news media|news website|newspaper|online newspaper,India,,topic+title
UCSbOqpZWlSqMmuOUbU0CD_g,Holod,Q108839367,mass media|news media|news website|newspaper|online newspaper,,Russian,topic
UCSnk3GAeQ5JxJVXeYKT0OOQ,Nós Diario,Q80701889,newspaper,,Galician,topic+title
UCSqO8lV-ric7ow5G5q9roWw,Vot Tak,Q134391702,mass media|news media|news website|television channel,Poland,,topic
UCSzVwhxdRxRTwjBUfXBZQoQ,Humanistischer Pressedienst,Q93377876,mass media|news media,Germany,,topic
UCTDEBaR0vOShVr9JqgcC38Q,Q28688567,Q28688567,mass media|news media|news website,Japan,,topic
UCTJ6SPkk45wPvUpa8RK2x9A,Twój Kurier Olsztyński,Q140701184,mass media|news media,Poland,Polish,topic+title
UCTJ9Aj8VDD82LFV1Yb0KoZw,Q28038513,Q28038513,mass media|media company|news agency|news media,Greece,Greek,topic
UCTOCA6osUag-hNGKKKUZXdw,Endpoints News,Q135524481,mass media|news media|news website,United States,English,topic+title
UCTP4PtUsPfpQZwiJUNtDbAQ,Q138011394,Q138011394,mass media|news media|news website,Canada,,topic
UCTRVokBibHyfBnKLwUr7AJQ,Veto,Q12231503,newspaper,Egypt,Arabic,topic
UCTXQl9t6iESczzRGNfqXqug,Q130702628,Q130702628,mass media|news media|news website,United States,English,topic
UCT_fHXxrIlPq6UEz4b64J6g,Srugim,Q16132624,mass media|news media|news website|newspaper|online newspaper,Israel,,topic
UCT_weki0minGjriIoQA0lew,CLT Daily,Q141005278,mass media|news media|news website,United States,English,topic+title
UCTchro8YRF6DZpVDJJu1_uw,El Salto,Q40013900,newspaper,Spain,Spanish,topic+title
UCThImdAnYJzELSvH0sh3aoA,FoodService Director,Q108279533,magazine|mass media|news media,United States,English,topic
UCTlSHe68QnKiZfj2kVi4XZA,Contre Attaque,Q110812161,newspaper,,French,topic+title
UCTs5x4Qdfy_cw5hp9KqBQbw,El Marino,Q18445392,mass media|news media|news website|newspaper|online newspaper,,Spanish,topic+title
UCTsY9676sB2jJJZP4_Ux1_g,Al Bayan,Q17521121,mass media|media company|news media|news website|newspaper|online newspaper,United Arab Emirates,Arabic,topic
UCTssH-0WTg5PQ8KLHyqi_fA,The Brunswick News,Q7720427,newspaper,,English,topic+title
UCTxyBu9VWUq5LXezXwy_SGg,HK01,Q22774484,mass media|news media|news website|newspaper|online newspaper,People's Republic of China,,topic
UCU7anxt4mg8i7GVKQMlIpwA,Sydsvenskan,Q1371686,newspaper,Sweden,Swedish,topic+title
UCUFLZTlEPJNr04bQeCKr0PQ,Evangelische Omroep,Q2514841,public broadcaster,Netherlands,,topic
UCUI2i_DrjQJ08dSeF-tL_NA,Ukraїner,Q85987519,mass media|news media|news website|newspaper|online newspaper,,,topic+title:alt
UCURqJEezGNkNQISHMy8fwHg,City & State,Q15059312,newspaper,,English,topic+title
UCUb3Eud50AaOiQgw5vn7Q0w,Infoeste,Q141044272,mass media|news media|news website|newspaper|online newspaper,Brazil,Portuguese,topic+title
UCUuuqZ8I8Vgtj55AWO391Cw,Derby Informer,Q55666833,newspaper,United States,,topic+title
UCV4ZdqpfiIBJIx1BBIHi3sw,The Christian Post,Q7722722,newspaper,United States,English,topic+title
UCV6K03YdIa8g64U2xIbaShw,Felesteen,Q12231001,newspaper,Palestine,Arabic,topic
UCV7dpSujy4XWzaNHTVVtYOw,Mainichi Shimbun,Q1136866,newspaper,Japan,Japanese,topic
UCVF3bTd3dxM4IfOMFCbNADA,CrazyNews,Q29048379,mass media|news media,Taiwan,Standard Chinese,topic
UCVHupqFUgMkbzm9Ama7_8gA,Epoch,Q96306301,magazine|mass media|newspaper,Israel,Hebrew,topic
UCVRxkNrC-PanvRElZgRfbbw,Colorado Newsline,Q111823482,mass media|news media|news website,United States,,topic+title
UCVSWLtm3ijS-rTwa__Ww2Rg,Q1504424,Q1504424,newspaper,Canada,French,topic
UCVSbd6GI-De_XiycLB0BXRA,Castilla-La Mancha Media,Q3330000,public broadcaster,Spain,,topic+title
UCVT1tPkR-fUVlO652EcO3ow,CBS News Sunday Morning,Q5009252,mass media|news media|news program,,,topic+title
UCVTyTA7-g9nopHeHbeuvpRA,Late Night with Seth Meyers,Q15274593,mass media|news media|news program,,,topic+title
UCVbZYhcirOke2vipxs4lT2w,Anadolu Agency,Q477436,mass media|media company|news agency|news media,Turkey,Turkish,topic+title
UCVgO39Bk5sMo66-6o6Spn6Q,ABC News,Q4650197,mass media|news media|news program,Australia,,topic+title
UCW30UMsnqZGIjLyc91DWnSQ,Democrat Gazette,Q55421729|Q55665341,newspaper,United States,,topic+title
UCW3UkCfLZBpwaGbp7gTW4XQ,Nikkan Gendai,Q11504939,newspaper,,Japanese,topic
UCWAIvx2yYLK_xTYD4F2mUNw,Echo of Moscow,Q2389338|Q749928,journalist|mass media|news media|news website|radio station,Russia,Russian,topic
UCWJkfdG6J2HUxOHrORuHZ2g,Jago News 24,Q61362171,mass media|news media|news website|newspaper|online newspaper,Bangladesh,,topic+title
UCWUIovDFZ7kc8uEZ4evQQGw,Berkeley Observer,Q55668626,newspaper,United States,,topic+title
UCWYLVV7741O3UI2DfoGT3Yw,T—J,Q125692276,mass media|news media|news website|newspaper|online newspaper,Russia,Russian,topic
UCWe-jB20mDi09llqDJlfZDg,"""Azerbaijan muallimi"" newspaper",Q12836749,newspaper,Azerbaijan,Azerbaijani,topic
UCWeXgaH6wwyTRAkA3n6sRxg,Terra,Q1135120,mass media|news media|news website|newspaper|online newspaper,Brazil,,topic+title
UCWg3QqUzqxXt6herm5sMjNw,The Stanford Daily,Q7766234,magazine|mass media|newspaper,,English,topic+title
UCWnltUvG1abWuVaXMfLohGA,Shelterforce,Q131279666,magazine|mass media|news magazine|news media,,English,topic+title
UCXArTu9W9kIu1Z9IQn_Bz7g,La Razón,Q6464783,newspaper,Bolivia,Spanish,topic+title
UCXIJgqnII2ZOINSWNOGFThA,Fox News,Q166419|Q186068,mass media|media company|news media|news program|television channel|television station,United States,,topic+title
UCXISYK3xagaK5DHnhQ4X0hw,As,Q719880,newspaper,Spain,Spanish,topic+title
UCXLPiwE0SMfB4owoNf544bA,Mada Masr,Q16486302,mass media|news media|news website|newspaper|online newspaper,Egypt,English,topic+title
UCXQR-5Obb1uAQthcWP3ejFA,Outras Palavras,Q117813990,newspaper,Brazil,,topic+title
UCXlX_HprYVigxWvfARhAu-g,WYPR,Q2538121,mass media|public broadcaster|radio station,United States,,topic+title
UCXoAjrdHFa2hEL3Ug8REC1w,Deutsche Welle,Q153770,mass media|public broadcaster|television station,Germany,,topic
UCXwGkt5192M1nWPaag0QDUw,Egemen Qazaqstan,Q512724,newspaper,,Kazakh,topic+title
UCY5z1dsuIdsMH3xbWtxhruA,Sankei Shimbun,Q1197261,newspaper,Japan,Japanese,topic
UCY8i60Jd_DPyqOB_AJut2vw,Mediawatch,Q16170841,mass media|news media,South Korea,,topic
UCYNmQ9W-0CYoW8a4thzxB0g,Israel Hayom,Q1632726,newspaper,Israel,Hebrew,topic+title
UCYOYoDmGQBDu7lPe2Qbh6pw,Zerkalo Nedeli,Q1972759,newspaper,Ukraine,Russian,topic
UCYPvAwZP8pZhSMW8qs7cVCw,India Today,Q5689808,mass media|news media|television channel,India,,topic+title
UCYRpTuLTvC7S6zfATKNfDXw,The Witness,Q112037516,mass media|news media|news website|newspaper|online newspaper,,,topic+title
UCYV-6puOGpOOLJuOHFQE_kA,Q12050678,Q12050678,mass media|media company|news agency|news media,Italy,,topic
UCYY7NKoqXuAVrVIZUH7fj3A,Belarusian section of Radio Free Europe/Radio Liberty,Q13028748,mass media|news media|news website|newspaper|online newspaper|radio station,,Belarusian,topic:alt
UCYYSLCzDmmED5hnYcFmKimA,Ottawa Citizen,Q3357762,newspaper,Canada,English,topic+title
UCYZixCNzcgknXLPdHUXQPXw,Johnson City Press,Q55671042,newspaper,United States,,topic+title
UCY_q9S5SOsIRZNUVrmHB1JQ,Nexta,Q98148856,mass media|news media|news website|newspaper|online newspaper,Belarus,English,topic+title
UCYaSzJ77u2ikHj33rXJJMVw,Paraluman News,Q138667113,mass media|news media|news website,Philippines,English,topic+title
UCYuhv8McIA_0znEhEkaCn8Q,Fort Worth Weekly,Q5472413,newspaper,United States,English,topic+title
UCYvCdX-RomwcpzCsb8hpiFA,WAFA,Q2915969,mass media|media company|news agency|news media,Palestine,,topic+title
UCYyIQ2p2ZK3BHu5WlOUc1kA,stephanelarue.com,Q141425751,mass media|news media|news website,,French,topic
UCZ0y-ZD_Ur88Kb8E9sRtlww,Fount Media,Q140545233,mass media|news media|news website|newspaper|online newspaper,Taiwan,Chinese,topic+title
UCZ5m5Pu2ysbLgWosT14eaVA,El Tucumano,Q141055419,mass media|news media|news website|newspaper|online newspaper,Argentina,Spanish,topic+title
UCZFMm1mMw0F81Z37aaEzTUA,NDTV,Q2985356,mass media|news media|television station,India,,topic+title
UCZKxGVln-vFSOZgvopOnnQQ,Xpert Times,Q140868292,newspaper,India,Hindi,topic+title
UCZZqKhSQeS2UXos1oXvlCXA,Dziennik Zwiazkowy,Q55666454,newspaper,United States,,topic+title
UCZg2zJwbGNA6n0bQogA4GXw,S'Indipendente,Q136341628,newspaper,,Italian,topic+title
UCZijOJ1m75sq8Z28HDioEuQ,Novedades Quintana Roo,Q58979980,mass media|news media|news website|newspaper,Mexico,Spanish,topic+title
UCZpf3t79EhVe83Z76FZipCw,Inmedia,Q13164959,mass media|news media|news website,People's Republic of China,Chinese,topic
UCZvFwA9WEsYgFEXbmlGQohA,iStories,Q105322853,mass media|news media|news website,Russia,English,topic
UC_0-CVRy3rbgAMyEBxXMAcw,Göteborgs-Posten,Q1559719,newspaper,Sweden,Swedish,topic+title
UC_2_s22mExX4rh90vlRrqLg,Franc-Tireur,Q108884378,magazine|mass media|newspaper,,French,topic+title
