newsguard_domain,newsguard_brand,failed_url,failure_reason,wikidata_channel_id,wikidata_label,wd_item,match_method,already_in_db,tier_if_known,collected,recovery_cost_units
thehill.com,The Hill,https://www.youtube.com/c/thehill,Channel not found (deleted/private/suspended),UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,Q7739683,brand_exact,yes,1,yes,1
sana.sy,Syrian Arab News Agency,https://www.youtube.com/user/syrianarabnewsagency,Channel not found (deleted/private/suspended),UCOdpeidso85hQh1fvxcVwjw,Syrian Arab News Agency,Q63392,brand_exact,yes,1,yes,1
courthousenews.com,Courthouse News Service,https://www.youtube.com/@courthousenews5347,Channel not found (deleted/private/suspended),UCkjItKWXaynj7EPfQ-harrQ,Courthouse News Service,Q5178516,brand_exact,yes,1,yes,1
fivethirtyeight.com,,https://www.youtube.com/channel/UCXKjhxsfFQUqlNVQzLVnpEA,Channel not found (deleted/private/suspended),UCXKjhxsfFQUqlNVQzLVnpEA,FiveThirtyEight,Q600669,domain,yes,3,no,1
hindustantimes.com,The Hindustan Times,https://www.youtube.com/c/htdotcom,Channel not found (deleted/private/suspended),UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,Q41595,brand_exact,yes,1,yes,1
nv.ua,New Voice,https://www.youtube.com/@videoNVua,Channel not found (deleted/private/suspended),UCFRkqOONCkI5jJ3oYFzJjvA,The New Voice of Ukraine,Q20093911,brand_subset,yes,1,yes,1
news.nayag.com,,https://www.youtube.com/c/NAYAGTV,Channel not found (deleted/private/suspended),UCdkoob1vjdQQp-yMGOv-9bw,News.Ro,Q98034432,domain,yes,2,yes,1
nydailynews.com,New York Daily News,https://www.youtube.com/c/dailynews,Channel not found (deleted/private/suspended),UCqnbDFdCpuN8CMEg0VuEBqA,The New York Times,Q9684,brand_exact,yes,1,yes,1
breitbart.com,Breitbart,https://www.youtube.com/channel/UCmgnsaQIK1IR808Ebde-ss,Channel not found (deleted/private/suspended) [confirmed on revalidation],UCmgnsaQIK1IR808Ebde-ssA,Breitbart News,Q4960434,brand_exact,yes,1,yes,1
en.people.cn,People's Daily,https://www.youtube.com/user/PeoplesDailyonline,Channel not found (deleted/private/suspended),UC6VqhWxzlgWu0gw8itpWDQA,People's Voice,Q7165811,brand_subset,yes,2,yes,1
rsbnetwork.com,Right Side Broadcasting Network,https://www.youtube.com/c/RightSideBroadcastingNetwork,Channel not found (deleted/private/suspended),UCHqC-yWZ1kri4YzwRSt6RGQ,Right Side Broadcasting Network,Q27629636,brand_exact,yes,1,yes,1
reuters.com,,https://www.youtube.com/c/Reuters,Channel not found (deleted/private/suspended),UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,Q130879,domain,yes,1,yes,1
elamerican.com,El American,https://www.youtube.com/channel/UCk6tcGiLx61U0q0Px4tZPvw,Channel not found (deleted/private/suspended) [confirmed on revalidation],UCk6tcGiLx61U0q0Px4tZPvw,El American,Q100754558,brand_exact,yes,3,no,1
voiceofeurope.com,Voice of Europe,https://www.youtube.com/channel/UChto_0xZP41Ld2w5vIbhEiA,Channel not found (deleted/private/suspended) [confirmed on revalidation],UCi87XRXDgTMwULWc2KWgUEg,Voice of Europe,Q125252667,brand_exact,yes,3,no,1
nbcnews.com,NBC News,https://www.youtube.com/c/NBCNews,Channel not found (deleted/private/suspended),UCeY0bbntWzzVIaj2z3QigXg,NBC News,Q2877626,brand_exact,yes,1,yes,1
shelbystar.com,The Star,https://www.youtube.com/channel/UCdJuL8qUkv_wSSH7uT5pWSg,Channel not found (deleted/private/suspended),UCpWvshQVx1d7BqCsPnVuNIw,The Star,Q3522843,brand_exact,yes,1,yes,1
norwichbulletin.com,The Bulletin,https://www.youtube.com/channel/UCT_sVYfZBeqeDwmHnUqoPfg,Channel not found (deleted/private/suspended),UCcXWldkGVrfEUCJjKyvKgvQ,Post-Bulletin,Q7233471,brand_exact,yes,0,yes,1
the-village.com.ua,The Village Ukraine,https://www.youtube.com/@thevillage5702,Channel not found (deleted/private/suspended),UChnN1D-OCyACuu1KDscKlwA,Village Ukraine,Q119361981,brand_exact,yes,1,yes,1
vvdailypress.com,Daily Press,https://www.youtube.com/channel/UCbDhz3onZXGalUYuDn4dUMQ,Channel not found (deleted/private/suspended),UC4HkxN3-j-bQVd_1ZZKOqSA,The News-Press,Q7753897,brand_exact,yes,2,yes,1
buzzfeednews.com,BuzzFeed News,https://www.youtube.com/channel/UCf4FYTsGFFcdc68AUPIU3RA,Channel not found (deleted/private/suspended),UCf4FYTsGFFcdc68AUPIU3RA,BuzzFeed News,Q55715275,brand_exact,yes,3,no,1
